Date,Open,High,Low,Close,Volume,Change,MACD,Signal,PSAR,upper,middle,lower,SlowK,SlowD,ROC,OBV,FI
2023-05-17,109200,119100,108600,113300,991794,0.037545787545787634,1043.5619731443003,487.5840882892102,101000.0,113242.66855243366,106290.0,99337.33144756634,44.494288877346,38.65866125576023,6.685499058380406,36289681.0,4066355400.0
2023-05-18,112700,112900,109300,111000,301823,-0.02030008826125329,1262.8378869768349,642.6348480267351,101362.0,113741.32716692452,106705.0,99668.67283307548,58.58950748453514,46.386120425132475,3.5447761194029814,35987858.0,-694192900.0
2023-05-19,112200,112400,106300,107600,354534,-0.03063063063063065,1149.0188691877847,743.911652258945,101716.76,113831.48477729099,106860.0,99888.51522270901,53.2228360957643,52.10221081921515,-4.440497335701599,35633324.0,-1205415600.0
2023-05-22,107600,107600,104500,106900,272770,-0.006505576208178487,990.9097370831005,793.3112692237761,102064.4248,113798.13725205115,107055.0,100311.86274794885,41.43646408839782,51.08293588956576,-4.977777777777781,35360554.0,-190939000.0
2023-05-23,107000,108900,105400,108100,234544,0.011225444340505097,951.4691380029835,824.9428429796176,102405.136304,113477.93802715202,107435.0,101392.06197284798,36.09576427255988,43.585021485574,0.7455731593662529,35595098.0,281452800.0
2023-05-24,108500,108500,104200,105100,313977,-0.02775208140610541,670.4091912820586,794.0361126401058,102739.03357792,113459.79999666655,107460.0,101460.20000333345,31.491712707182355,36.34131368938002,0.2862595419847347,35281121.0,-941931000.0
2023-05-25,103300,106100,102900,103600,206101,-0.014272121788772574,322.90741887925833,699.8103738879363,119100.0,113434.48823306162,107475.0,101515.51176693838,25.414364640884013,31.000613873542083,0.19342359767891004,35075020.0,-309151500.0
2023-05-26,104200,106900,103700,104800,244413,0.01158301158301156,142.69483458784816,588.3872660279187,118776.0,113357.0619940694,107300.0,101242.9380059306,19.33701657458567,25.414364640884013,-0.8514664143803197,35319433.0,293295600.0
2023-05-30,104800,109500,103700,109400,333103,0.043893129770992356,366.8280539083935,544.0754236040136,118458.48,113561.27855453265,107460.0,101358.72144546735,27.255985267035026,24.002455494168235,1.4842300556586308,35652536.0,1532273800.0
2023-05-31,110300,114900,109500,109700,574950,0.002742230347349217,562.1822507674078,547.6967890366925,118147.3104,113761.81956997288,107585.0,101408.18043002712,38.48987108655621,28.360957642725634,3.101503759398505,36227486.0,172485000.0
2023-06-01,109700,114600,100600,101800,2092346,-0.07201458523245219,78.63146767100261,453.88372476355454,117842.36419200001,113261.90437436511,107045.0,100828.09562563489,33.65387486934452,33.13324374097858,-0.6829268292682933,34135140.0,-16529533400.0
2023-06-02,102700,103200,101200,101900,444578,0.0009823182711199419,-293.1377380902413,304.47943219279534,117152.66962432001,112586.99308300001,106515.0,100443.00691699999,20.526603952018352,30.89011663597302,-6.684981684981683,34579718.0,44457800.0
2023-06-05,102000,102500,98600,100500,506533,-0.013738959764474923,-692.7502185232297,105.03350204959031,116490.56283934721,112771.931104688,106175.0,99578.068895312,7.593935398813483,20.591471406725447,-11.297440423654015,34073185.0,-709146200.0
2023-06-07,100000,105700,99500,103300,528834,0.027860696517412853,-774.5805069704656,-70.8892997544209,115417.12906898638,112791.18823528377,106100.0,99408.81176471623,13.074049659415548,13.731529670082457,-6.936936936936933,34602019.0,1480735200.0
2023-06-08,103300,103600,101400,103400,349972,0.0009680542110357404,-821.888220061941,-221.0890838159249,114408.1013248472,112791.18823528377,106100.0,99408.81176471623,20.547658237318604,13.73854776518254,-3.903345724907059,34951991.0,34997200.0
2023-06-09,103200,105800,102000,102000,348743,-0.013539651837524147,-961.267331799565,-369.1247334126529,113459.61524535637,112840.68408173518,105915.0,98989.31591826482,24.41119257818349,19.344300158305874,-4.583723105706272,34603248.0,-488240200.0
2023-06-12,103000,105200,101800,104400,321475,0.0235294117647058,-868.0598856475699,-468.9117638596363,112568.03833063498,112644.12313268868,105745.0,98845.87686731132,28.629856850715782,24.52956922207262,-3.422756706753005,34924723.0,771540000.0
2023-06-13,105500,109400,103800,108000,439951,0.034482758620689724,-497.9622012191103,-474.7218513315311,111729.95603079688,112789.44541941425,105825.0,98860.55458058575,38.03680981595095,30.359286414950066,2.7592768791627087,35364674.0,1583823600.0
2023-06-14,109700,118200,109500,114900,1038431,0.06388888888888888,348.10250539827393,-310.1569799855701,98600.0,114269.69807724234,106445.0,98620.30192275766,58.80493301615129,41.82386656093934,10.907335907335902,36403105.0,7165173900.0
2023-06-15,116000,117400,113000,114800,467487,-0.0008703220191470518,999.0295261908323,-48.3196787502896,98992.0,115289.78254248174,106725.0,98160.21745751826,74.49501272901803,57.112251853706745,9.541984732824439,35935618.0,-46748700.0
2023-06-16,115600,118500,113000,117600,453509,0.024390243902439046,1720.9919552882493,305.5426480574182,99376.16,116330.2928601828,106940.0,97549.7071398172,87.09790448842857,73.46595007786595,7.4954296160877565,36389127.0,1269825200.0
2023-06-19,117600,122300,115400,118900,498769,0.011054421768707412,2370.7232948342134,718.5787774127773,100141.1136,117958.7987556241,107335.0,96711.2012443759,87.92815219932726,83.17368980559128,8.38650865998176,36887896.0,648399700.0
2023-06-20,120000,124300,118900,121900,436314,0.025231286795626584,3092.071514765281,1193.277324883278,101470.646784,120428.77215235824,108050.0,95671.22784764176,90.59762465757126,88.54122711510901,19.744597249508832,37324210.0,1308942000.0
2023-06-21,121800,123100,117400,118800,344778,-0.025430680885972112,3374.69964702164,1629.5617893109504,103296.99504128,121861.12272945435,108645.0,95428.87727054565,84.9715696093079,87.83244882206878,16.584887144259074,36979432.0,-1068811800.0
2023-06-22,117800,119600,113400,114200,597643,-0.03872053872053871,3190.7222617863445,1941.7938838060293,104977.2354379776,122381.53006920656,108950.0,95518.46993079344,76.6536964980545,84.07429692164453,13.63184079601989,36381789.0,-2749157800.0
2023-06-23,114900,115200,110800,111000,323657,-0.028021015761821366,2754.948273219823,2104.424761688788,106523.05660293938,122584.18663187527,109245.0,95905.81336812473,62.51621271076527,74.7138262727092,7.454017424975801,36058132.0,-1035702400.0
2023-06-26,110300,112000,109400,109700,193953,-0.011711711711711703,2278.4307804885466,2139.2259654487398,107945.21207470424,122635.48814526993,109550.0,96464.51185473007,50.026149533492344,63.06535291410402,6.092843326885888,35864179.0,-252138900.0
2023-06-27,108600,110900,106400,109700,238510,0.0,1879.1258413915348,2087.2059406372987,124300.0,122697.78652074814,109795.0,96892.21347925186,41.87420032671161,51.472187523656395,7.549019607843133,35864179.0,0.0
